bld_intval,FAIL,LowTI.TJ.LowTK_D1,PASS,PRESSURE,TI_D2,TI.TJ.LowTK,TJ,Prodn_total,D1_1000,D2_1000
2021WK48,36,7,3302,83,26,0,7,3461,2,7.5
2021WK49,127,6,4478,38,49,0,6,4704,1.3,10.4
2021WK50,33,8,3260,14,11,1,1,3328,2.4,3.3
2021WK51,0,0,0,0,0,0,0,0,0,0
2021WK52,0,0,0,0,0,0,0,0,0,0
2022WK01,0,0,0,0,0,0,0,0,0,0
2022WK02,2,0,708,15,3,0,0,728,0,4.1
2022WK03,43,10,1565,16,32,0,3,1669,6,19.2
2022WK04,52,15,3375,111,15,1,15,3584,4.2,4.2
2022WK05,55,12,2620,76,37,0,9,2809,4.3,13.2
2022WK06,36,12,3276,84,18,1,20,3447,3.5,5.2
2022WK07,16,15,3405,72,93,1,13,3615,4.1,25.7
2022WK08,17,19,3279,28,107,1,20,3471,5.5,30.8
2022WK09,21,19,3336,46,44,0,12,3478,5.5,12.7
2022WK10,0,0,0,0,0,0,0,0,0,0
2022WK11,4,9,1958,47,11,1,2,2032,4.4,5.4
2022WK12,21,21,3208,49,10,2,5,3316,6.3,3
2022WK13,26,22,3216,86,147,1,8,3506,6.3,41.9
2022WK14,27,19,2453,30,224,1,11,2765,6.9,81
2022WK15,13,6,3896,36,11,3,2,3967,1.5,2.8
2022WK16,68,15,3159,24,40,8,3,3317,4.5,12.1
2022WK17,412,6,3644,36,148,14,8,4268,1.4,34.7
2022WK18,104,8,3863,43,29,4,2,4053,2,7.2
2022WK19,21,10,3771,39,4,3,32,3880,2.6,1
2022WK20,21,5,3653,25,35,0,6,3745,1.3,9.3
2022WK21,76,4,4509,11,26,4,4,4634,0.9,5.6
2022WK22,4,2,2198,12,6,0,2,2224,0.9,2.7
2022WK23,9,1,3689,16,6,1,1,3723,0.3,1.6
2022WK24,7,2,3921,13,5,1,6,3955,0.5,1.3
